claim_ids	premises	hypotheses	labels
28	Individuals with SLE also have elevated serum IgE, self-reactive IgEs and activated basophils that express CD62 ligand (CD62L) and the major histocompatibility complex (MHC) class II molecule human leukocyte antigen-DR (HLA-DR), parameters that are associated with increased disease activity and active lupus nephritis.	A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).	contradiction
28	Thus, in Lyn(-/-) mice, basophils and IgE autoantibodies amplify autoantibody production that leads to lupus nephritis, and in individuals with SLE IgE autoantibodies and activated basophils are factors associated with disease activity and nephritis.	A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).	contradiction
30	At 9 years of follow-up, the recurrence rates were 14.9% for extensive metabolizers, 20.9% for heterozygous extensive/intermediate metabolizers, and 29.0% for poor metabolizers, and all-cause mortality rates were 16.7%, 18.0%, and 22.8%, respectively.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.	entailment
30	Compared with extensive metabolizers, there was a significantly increased risk of recurrence for heterozygous extensive/intermediate metabolizers (time to recurrence adjusted hazard ratio [HR], 1.40; 95% confidence interval [CI], 1.04-1.90) and for poor metabolizers (time to recurrence HR, 1.90; 95% CI, 1.10-3.28).	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.	entailment
30	Compared with extensive metabolizers, those with decreased CYP2D6 activity (heterozygous extensive/intermediate and poor metabolism) had worse event-free survival (HR, 1.33; 95% CI, 1.06-1.68) and disease-free survival (HR, 1.29; 95% CI, 1.03-1.61), but there was no significant difference in overall survival (HR, 1.15; 95% CI, 0.88-1.51).	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.	entailment
30	CONCLUSION Among women with breast cancer treated with tamoxifen, there was an association between CYP2D6 variation and clinical outcomes, such that the presence of 2 functional CYP2D6 alleles was associated with better clinical outcomes and the presence of nonfunctional or reduced-function alleles with worse outcomes.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.	entailment
30	MAIN OUTCOME MEASURES Time to recurrence, event-free survival, disease-free survival, and overall survival.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.	neutral
30	DNA from tumor tissue or blood was genotyped for CYP2D6 variants associated with reduced (*10, *41) or absent (*3, *4, *5) enzyme activity.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.	neutral
30	OBJECTIVE To determine whether CYP2D6 variation is associated with clinical outcomes in women receiving adjuvant tamoxifen.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.	neutral
30	DESIGN, SETTING, AND PATIENTS Retrospective analysis of German and US cohorts of patients treated with adjuvant tamoxifen for early stage breast cancer.	A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.	neutral
32	CONCLUSIONS This study substantiates previous findings related to vaccine price and presents new evidence to suggest that GAVI eligibility is associated with accelerated decisions to adopt Hib vaccine.	A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.	contradiction
32	The influence of neighboring country decisions was also highly significant, suggesting that approaches to support the adoption of new vaccines should consider supply- and demand-side factors.	A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.	neutral
34	RESULTS Median serum homocysteine level decreased with increasing folic acid dosage, to a maximum at 0.8 mg of folic acid per day, when the homocysteine reduction (placebo adjusted) was 2.7 micromol/L (23%), similar to the known effect of folic acid dosages of 1 mg/d and above.	A deficiency of folate increases blood levels of homocysteine.	entailment
34	Fasting blood samples for serum homocysteine and serum folate analysis were taken initially, after 3 months of supplementation, and 3 months after folic acid use was discontinued.	A deficiency of folate increases blood levels of homocysteine.	neutral
39	After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	entailment
39	Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	entailment
39	Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	entailment
39	Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	entailment
39	Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	entailment
39	Results A total of 750 women (mean age, 33.3 [SD, 3.2] years; 77% white; 36% overweight or obese) provided a blood and urine sample and were included in the analysis.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	neutral
39	These findings do not support the use of urinary or blood follicle-stimulating hormone tests or antimüllerian hormone levels to assess natural fertility for women with these characteristics.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	neutral
39	Main Outcomes and Measures The primary outcomes were the cumulative probability of conception by 6 and 12 cycles of attempt and relative fecundability (probability of conception in a given menstrual cycle).	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	neutral
39	Conception was defined as a positive pregnancy test result.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	neutral
39	Design, Setting, and Participants Prospective time-to-pregnancy cohort study (2008 to date of last follow-up in March 2016) of women (N = 981) aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, recruited from the community in the Raleigh-Durham, North Carolina, area.	A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.	neutral
40	After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	contradiction
40	Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	contradiction
40	Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	contradiction
40	Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	contradiction
40	Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	contradiction
40	Results A total of 750 women (mean age, 33.3 [SD, 3.2] years; 77% white; 36% overweight or obese) provided a blood and urine sample and were included in the analysis.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	neutral
40	These findings do not support the use of urinary or blood follicle-stimulating hormone tests or antimüllerian hormone levels to assess natural fertility for women with these characteristics.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	neutral
40	Conception was defined as a positive pregnancy test result.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	neutral
40	Main Outcomes and Measures The primary outcomes were the cumulative probability of conception by 6 and 12 cycles of attempt and relative fecundability (probability of conception in a given menstrual cycle).	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	neutral
40	Exposures Early-follicular-phase serum level of antimüllerian hormone (AMH), follicle-stimulating hormone (FSH), and inhibin B and urinary level of FSH.	A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.	neutral
41	Individuals homozygous for alpha(+)-thalassaemia have microcytosis and an increased erythrocyte count.We estimated that the haematological profile in children homozygous for alpha(+)-thalassaemia reduces the risk of SMA during acute malaria compared to children of normal genotype (relative risk 0.52; 95% confidence interval [CI] 0.24-1.12, p = 0.09).	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.	entailment
41	CONCLUSIONS The increased erythrocyte count and microcytosis in children homozygous for alpha(+)-thalassaemia may contribute substantially to their protection against SMA.	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.	entailment
41	Alpha(+)-thalassaemia homozygosity confers considerable protection against severe malaria, including severe malarial anaemia (SMA) (Hb concentration < 50 g/l), but does not influence parasite count.	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.	neutral
41	We observed a reduction in median erythrocyte count of approximately 1.5 x 10(12)/l in all children with acute falciparum malaria relative to values in community children (p < 0.001).	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.	neutral
41	We developed a simple mathematical model of the linear relationship between Hb concentration and erythrocyte count.	A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.	neutral
44	We assessed the in utero and neonatal role of two key regulators of pancreatic insulin secretion by studying birthweight and the incidence of neonatal hypoglycaemia in patients with heterozygous mutations in the maturity-onset diabetes of the young (MODY) genes HNF4A (encoding HNF-4α) and HNF1A/TCF1 (encoding HNF-1α), and the effect of pancreatic deletion of Hnf4a on foetal and neonatal insulin secretion in mice.	A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.	entailment
44	Background  Macrosomia is associated with considerable neonatal and maternal morbidity.	A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.	neutral
46	Individual genotyping of two SNPs (rs1934179 and rs7063116) in DGKK, encoding diacylglycerol kinase κ, produced compelling evidence for association with hypospadias in the discovery sample (allele-specific odds ratio (OR) = 2.5, P = 2.5 × 10−11 and OR = 2.3, P = 2.9 × 10−9, respectively) and in the Dutch (OR = 3.9, P = 2.4 × 10−5 and OR = 3.8, P = 3.4 × 10−5) and Swedish (OR = 2.5, P = 2.6 × 10−8 and OR = 2.2, P = 2.7 × 10−6) replication samples.	A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.	entailment
46	We propose DGKK as a major risk gene for hypospadias.	A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.	neutral
47	We detect a strong and reproducible bias in the phage genome locations from which spacers derive.	A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.	entailment
47	This may reflect selection for specific spacers based on location and effectiveness.	A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.	neutral
52	In a series of 577 breast carcinomas, expression of ALDH1 detected by immunostaining correlated with poor prognosis.	ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.	entailment
52	Application of stem cell biology to breast cancer research has been limited by the lack of simple methods for identification and isolation of normal and malignant stem cells.	ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.	neutral
55	Pharmacological activation of AMPK in myofibroblasts from lungs of humans with IPF display lower fibrotic activity, along with enhanced mitochondrial biogenesis and normalization of sensitivity to apoptosis.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.	entailment
55	In a bleomycin model of lung fibrosis in mice, metformin therapeutically accelerates the resolution of well-established fibrosis in an AMPK-dependent manner.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.	entailment
55	These studies implicate deficient AMPK activation in non-resolving, pathologic fibrotic processes, and support a role for metformin (or other AMPK activators) to reverse established fibrosis by facilitating deactivation and apoptosis of myofibroblasts.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.	entailment
55	Fibrosis is a pathological result of a dysfunctional repair response to tissue injury and occurs in a number of organs, including the lungs1.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.	neutral
55	AMPK is a critical sensor of cellular bioenergetics and controls the switch from anabolic to catabolic metabolism5.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.	neutral
55	However, the role of AMPK in fibrosis is not well understood.	AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.	neutral
58	Using human neurons derived from induced pluripotent stem cells that expressed apolipoprotein E4 (ApoE4), a variant of the APOE gene product and the major genetic risk factor for AD, we demonstrated that ApoE4-expressing neurons had higher levels of tau phosphorylation, unrelated to their increased production of amyloid-β (Aβ) peptides, and that they displayed GABAergic neuron degeneration.	APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.	contradiction
58	Converting ApoE4 to ApoE3 by gene editing rescued these phenotypes, indicating the specific effects of ApoE4.	APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.	neutral
60	For a scenario in which 80% of HIV-infected individuals start treatment on average 1 y after their CD4 count drops below 350 cells/µl and 85% remain on treatment after 3 y, the models projected that HIV incidence would be 35% to 54% lower 8 y after the introduction of ART, compared to a counterfactual scenario in which there is no ART.	ART has no effect on the infectiveness of HIV-positive people.	contradiction
60	Considering the actual scale-up of ART in South Africa, seven models estimated that current HIV incidence is 17% to 32% lower than it would have been in the absence of ART.	ART has no effect on the infectiveness of HIV-positive people.	contradiction
60	CONCLUSIONS Mathematical models evaluating the impact of ART vary substantially in structure, complexity, and parameter choices, but all suggest that ART, at high levels of access and with high adherence, has the potential to substantially reduce new HIV infections.	ART has no effect on the infectiveness of HIV-positive people.	contradiction
60	More variation existed in the estimated long-term (38 y) reductions in incidence.	ART has no effect on the infectiveness of HIV-positive people.	neutral
60	The impact of optimistic interventions including immediate ART initiation varied widely across models, maintaining substantial uncertainty about the theoretical prospect for elimination of HIV from the population using ART alone over the next four decades.	ART has no effect on the infectiveness of HIV-positive people.	neutral
60	Differences between model assumptions about CD4 decline and HIV transmissibility over the course of infection explained only a modest amount of the variation in model results.	ART has no effect on the infectiveness of HIV-positive people.	neutral
61	For a scenario in which 80% of HIV-infected individuals start treatment on average 1 y after their CD4 count drops below 350 cells/µl and 85% remain on treatment after 3 y, the models projected that HIV incidence would be 35% to 54% lower 8 y after the introduction of ART, compared to a counterfactual scenario in which there is no ART.	ART substantially reduces infectiveness of HIV-positive people.	entailment
61	Considering the actual scale-up of ART in South Africa, seven models estimated that current HIV incidence is 17% to 32% lower than it would have been in the absence of ART.	ART substantially reduces infectiveness of HIV-positive people.	entailment
61	CONCLUSIONS Mathematical models evaluating the impact of ART vary substantially in structure, complexity, and parameter choices, but all suggest that ART, at high levels of access and with high adherence, has the potential to substantially reduce new HIV infections.	ART substantially reduces infectiveness of HIV-positive people.	entailment
61	There was broad agreement regarding the short-term epidemiologic impact of ambitious treatment scale-up, but more variation in longer term projections and in the efficiency with which treatment can reduce new infections.	ART substantially reduces infectiveness of HIV-positive people.	neutral
61	This study compares the predictions of several mathematical models simulating the same ART intervention programmes to determine the extent to which models agree about the epidemiological impact of expanded ART.	ART substantially reduces infectiveness of HIV-positive people.	neutral
61	Differences between model assumptions about CD4 decline and HIV transmissibility over the course of infection explained only a modest amount of the variation in model results.	ART substantially reduces infectiveness of HIV-positive people.	neutral
67	Here we show that Cdk5 (cyclin-dependent kinase 5), activated by DNA damage, directly phosphorylates ATM at Ser 794 in post-mitotic neurons.	Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.	entailment
67	Thus, activation of Cdk5 by DNA damage serves as a critical signal to initiate the ATM response and regulate ATM-dependent cellular processes.	Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.	entailment
67	However, the mechanism by which DNA damage activates ATM is poorly understood.	Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.	neutral
67	Interruption of the Cdk5-ATM pathway attenuates DNA-damage-induced neuronal cell cycle re-entry and expression of the p53 targets PUMA and Bax, protecting neurons from death.	Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.	neutral
68	Interruption of the Cdk5-ATM pathway attenuates DNA-damage-induced neuronal cell cycle re-entry and expression of the p53 targets PUMA and Bax, protecting neurons from death.	Activated Cdk5 regulates DNA damage-induced neuronal death.	entailment
68	Mutations of ATM cause a spectrum of defects ranging from neurodegeneration to cancer predisposition.	Activated Cdk5 regulates DNA damage-induced neuronal death.	neutral
69	PPM1D mutations were mutually exclusive with TP53 mutations in BSG and attenuated p53 activation in vitro.PPM1D mutations were truncating alterations in exon 6 that enhanced the ability of PPM1D to suppress the activation of the DNA damage response checkpoint protein CHK2.	Activation of PPM1D enhances p53 function.	contradiction
69	This study led to the discovery of tumor-specific mutations in PPM1D, encoding wild-type p53-induced protein phosphatase 1D (WIP1), in 37.5% of the BSGs that harbored hallmark H3F3A mutations encoding p.	Activation of PPM1D enhances p53 function.	neutral
69	We also performed targeted mutational analysis of an additional 24 such tumors and genome-wide methylation profiling of 45 gliomas.	Activation of PPM1D enhances p53 function.	neutral
69	Functional studies demonstrate that the mutations result in enhanced suppression of p53 in response to ionizing radiation exposure, suggesting that the mutant alleles encode hyperactive PPM1D isoforms.	Activation of PPM1D enhances p53 function.	contradiction
69	However, there are considerable challenges with respect to study design, data analysis and replication.	Activation of PPM1D enhances p53 function.	neutral
71	We show that SRGP-1 functions in engulfing cells and functions as a GTPase activating protein (GAP) for CED-10 (Rac1).Interestingly, loss of srgp-1 function promotes not only the clearance of already dead cells, but also the removal of cells that have been brought to the verge of death through sublethal apoptotic, necrotic or cytotoxic insults.	Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.	entailment
71	Many of the pathways that mediate this cell removal are conserved through evolution.	Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.	neutral
71	In contrast, impaired engulfment allows damaged cells to escape clearance, which results in increased long-term survival.	Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.	neutral
76	Here, we show that an inhibitory MHC I receptor, Ly49Q, was crucial for the swift polarization of and tissue infiltration by neutrophils.	Active Ly49Q induces neutrophil polarization.	entailment
76	We propose that Ly49Q is pivotal in switching neutrophils to their polarized morphology and rapid migration upon inflammation, through its spatiotemporal regulation of membrane rafts and raft-associated signaling molecules.	Active Ly49Q induces neutrophil polarization.	entailment
76	Ly49Q-dependent polarization and migration were affected by Ly49Q regulation of membrane raft functions.	Active Ly49Q induces neutrophil polarization.	neutral
76	However, in the presence of inflammatory stimuli, Ly49Q mediated rapid neutrophil polarization and tissue infiltration in an ITIM-domain-dependent manner.	Active Ly49Q induces neutrophil polarization.	neutral
77	Here, we show that an inhibitory MHC I receptor, Ly49Q, was crucial for the swift polarization of and tissue infiltration by neutrophils.	Active Ly49Q prevents neutrophil polarization.	contradiction
77	We propose that Ly49Q is pivotal in switching neutrophils to their polarized morphology and rapid migration upon inflammation, through its spatiotemporal regulation of membrane rafts and raft-associated signaling molecules.	Active Ly49Q prevents neutrophil polarization.	contradiction
77	During the steady state, Ly49Q inhibited neutrophil adhesion by preventing focal-complex formation, likely by inhibiting Src and PI3 kinases.	Active Ly49Q prevents neutrophil polarization.	neutral
77	These opposite functions appeared to be mediated by distinct use of effector phosphatase SHP-1 and SHP-2.	Active Ly49Q prevents neutrophil polarization.	neutral
78	However, caspase-11 was dispensable for the fusion of lysosomes with phagosomes containing nonpathogenic bacteria, uncovering a fundamental difference in the trafficking of phagosomes according to their cargo.	Active caspase-11 participate in regulating phagosome-lysosome fusion.	entailment
78	Once bacterial molecules are sensed within the macrophage, the inflammasome is assembled, mediating the activation of caspase-1.	Active caspase-11 participate in regulating phagosome-lysosome fusion.	neutral
79	Here, we demonstrated that caspase-11 was dispensable for caspase-1 activation in response to Legionella, Salmonella, Francisella, and Listeria.	Active caspase-11 protein promotes pyroptosis.	entailment
79	We also determined that active mouse caspase-11 was required for restriction of L. pneumophila infection.	Active caspase-11 protein promotes pyroptosis.	entailment
79	Inflammasomes are multiprotein complexes that include members of the NLR (nucleotide-binding domain leucine-rich repeat containing) family and caspase-1.	Active caspase-11 protein promotes pyroptosis.	neutral
79	Similarly, human caspase-4 and caspase-5, homologs of mouse caspase-11, cooperated to restrict L. pneumophila infection in human macrophages.	Active caspase-11 protein promotes pyroptosis.	neutral
85	We have demonstrated that major tissue-resident macrophage populations, including liver Kupffer cells and lung alveolar, splenic, and peritoneal macrophages, are established prior to birth and maintain themselves subsequently during adulthood independent of replenishment by blood monocytes.	Adult tissue-resident macrophages are seeded before birth.	entailment
85	However, specific ontogenies of individual populations and the overall functional organization of this cellular network are not well defined.	Adult tissue-resident macrophages are seeded before birth.	neutral
85	Recently, it has become evident that most adult tissue macrophages originate during embryonic development and not from circulating monocytes.	Adult tissue-resident macrophages are seeded before birth.	entailment
85	Here, we define the tools used for identifying the complex origin of tissue macrophages and discuss the relative contributions of tissue niche versus ontological origin to the regulation of macrophage functions during steady state and inflammation.	Adult tissue-resident macrophages are seeded before birth.	neutral
86	We have demonstrated that major tissue-resident macrophage populations, including liver Kupffer cells and lung alveolar, splenic, and peritoneal macrophages, are established prior to birth and maintain themselves subsequently during adulthood independent of replenishment by blood monocytes.	Adult tissue-resident macrophages are seeded before birth.	entailment
86	Here we report a fate-mapping study of the murine monocyte and macrophage compartment taking advantage of constitutive and conditional CX(3)CR1 promoter-driven Cre recombinase expression.	Adult tissue-resident macrophages are seeded before birth.	neutral
86	Recently, it has become evident that most adult tissue macrophages originate during embryonic development and not from circulating monocytes.	Adult tissue-resident macrophages are seeded before birth.	entailment
86	This new understanding also prompts reconsideration of the function of circulating monocytes.	Adult tissue-resident macrophages are seeded before birth.	neutral
88	We have demonstrated that major tissue-resident macrophage populations, including liver Kupffer cells and lung alveolar, splenic, and peritoneal macrophages, are established prior to birth and maintain themselves subsequently during adulthood independent of replenishment by blood monocytes.	Adult tissue-resident macrophages possess a self-renewing capacity.	entailment
88	Here we report a fate-mapping study of the murine monocyte and macrophage compartment taking advantage of constitutive and conditional CX(3)CR1 promoter-driven Cre recombinase expression.	Adult tissue-resident macrophages possess a self-renewing capacity.	neutral
93	Here we show that MSU and CPPD engage the caspase-1-activating NALP3 (also called cryopyrin) inflammasome, resulting in the production of active interleukin (IL)-1β and IL-18.	Aggravated inflammation is dependent on NLRP3 inflammasome activation.	entailment
93	Macrophages from mice deficient in various components of the inflammasome such as caspase-1, ASC and NALP3 are defective in crystal-induced IL-1β activation.	Aggravated inflammation is dependent on NLRP3 inflammasome activation.	entailment
93	Moreover, an impaired neutrophil influx is found in an in vivo model of crystal-induced peritonitis in inflammasome-deficient mice or mice deficient in the IL-1β receptor (IL-1R).	Aggravated inflammation is dependent on NLRP3 inflammasome activation.	neutral
93	Although MSU crystals were first identified as the aetiological agent of gout in the eighteenth century and more recently as a ‘danger signal’ released from dying cells, little is known about the molecular mechanisms underlying MSU- or CPPD-induced inflammation.	Aggravated inflammation is dependent on NLRP3 inflammasome activation.	neutral
98	RESULTS Alirocumab reduced ultracentrifugally isolated LDL-C by 55.1%, LDL-apoB by 56.3%, and plasma Lp(a) by 18.7%.The fall in LDL-apoB was caused by an 80.4% increase in LDL-apoB FCR and a 23.9% reduction in LDL-apoB PR.	Alirocumab treatment reduces apo(a) fractional clearance rate.	contradiction
98	The FCR of apo(a) tended to increase (24.6%) without any change in apo(a) PR.	Alirocumab treatment reduces apo(a) fractional clearance rate.	contradiction
98	CONCLUSIONS Alirocumab decreased LDL-C and LDL-apoB by increasing IDL- and LDL-apoB FCRs and decreasing LDL-apoB PR.	Alirocumab treatment reduces apo(a) fractional clearance rate.	contradiction
98	The increase in apo(a) FCR during alirocumab treatment suggests that increased LDL receptors may also play a role in the reduction of plasma Lp(a).	Alirocumab treatment reduces apo(a) fractional clearance rate.	contradiction
98	The regulation of plasma Lp(a) levels, including the role of LDL receptors in the clearance of Lp(a), is poorly defined, and no mechanistic studies of the Lp(a) lowering by alirocumab in humans have been published to date.	Alirocumab treatment reduces apo(a) fractional clearance rate.	neutral
