subject	predicate	object
inflammatory	SimilarTo	unhealthy
inflammatory	Synonym	rabble-rousing
ratio	IsA	ratio
ratio	IsA	ratio
ratio	IsA	ratio
early	HasContext	linguistics
early	SimilarTo	azoic
early	Synonym	betimes
early	SimilarTo	untimely
acute	Synonym	penetrative
acute	SimilarTo	acute
acute	SimilarTo	critical
primary	IsA	flight_feather
primary	SimilarTo	first-string
pathway	Synonym	nerve_pathway
pathway	CapableOf	guide_the_walker
formation	IsA	formation
formation	Synonym	geological_formation
people	CapableOf	talk_to_each_other
people	HasA	feelings
people	ReceivesAction	killed
people	HasA	dogs_as_pets
immune	Synonym	resistant
immune	IsA	person
immune	SimilarTo	unaffected
immune	SimilarTo	exempt
likely	SimilarTo	probable
likely	SimilarTo	credible
likely	RelatedTo	possible
likely	SimilarTo	promising
show	UsedFor	entertain
show	UsedFor	entertainment
show	AtLocation	a_theatre
show	AtLocation	a_television
chronic	Synonym	continuing
chronic	HasContext	medicine
chronic	SimilarTo	degenerative
chronic	Synonym	inveterate
association	HasContext	ecology
association	IsA	chemical_process
association	IsA	association
response	IsA	manner
response	Synonym	answer
acid	CapableOf	burn_the_skin
acid	IsA	acid
acid	IsA	acid
acid	IsA	acid
progression	Synonym	progress
progression	IsA	series
progression	Synonym	progress
progression	IsA	progression
prior	IsA	superior
prior	Synonym	anterior
required	Synonym	compulsory
required	Synonym	requisite
potential	SimilarTo	prospective
three	IsA	a_number
three	RelatedTo	two
three	RelatedTo	number
three	Synonym	trey
conventional	SimilarTo	stodgy
conventional	SimilarTo	customary
differentiation	IsA	mathematical_process
differentiation	IsA	discrimination
outcome	Synonym	consequence
outcome	Synonym	result
analysis	IsA	calculus
analysis	IsA	reasoning
transcription	IsA	transcription
transcription	IsA	recording
sensitivity	IsA	physical_property
adjusted	Synonym	familiarised
adjusted	SimilarTo	altered
adjusted	HasContext	psychology
adjusted	SimilarTo	weighted
obesity	CausesDesire	exercise
obesity	Synonym	fleshiness
stroke	IsA	locomotion
stroke	IsA	stroke
stroke	IsA	maneuver
number	RelatedTo	digit
number	AtLocation	a_phone_book
number	RelatedTo	counting
number	RelatedTo	two
genetic	Synonym	genic
genetic	Synonym	genetic
genetic	Synonym	transmitted
effect	RelatedTo	cause
effect	RelatedTo	cause_and
effect	RelatedTo	result
effect	HasContext	law
important	SimilarTo	outstanding
important	SimilarTo	strategic
important	SimilarTo	historic
important	SimilarTo	big
pressure	IsA	distress
pressure	Synonym	coerce
pressure	IsA	pressure
pressure	Synonym	blackmail
new	DistinctFrom	old
new	HasContext	linguistics
new	SimilarTo	spic-and-span
new	SimilarTo	inexperienced
vitamin	IsA	vitamin
vitamin	IsA	nutriment
inflammation	PartOf	inflammatory_disease
found	IsA	wage
found	Synonym	establish
found	Synonym	establish
found	Synonym	establish
life	UsedFor	living
life	AtLocation	earth
life	RelatedTo	living
models	AtLocation	a_car_show
models	IsA	intangeable
models	CapableOf	wear_clothes_well
loss	IsA	transferred_property
loss	IsA	decline
loss	IsA	loss
population	RelatedTo	people
population	AtLocation	a_country
population	RelatedTo	number
population	AtLocation	any_city
model	MannerOf	expose
model	MannerOf	represent
exercise	Causes	sweat
exercise	HasPrerequisite	go_to_a_gym
exercise	HasFirstSubevent	stretch
exercise	HasSubevent	get_tired
rna	Synonym	ribonucleic_acid
induction	IsA	induction
induction	Synonym	evocation
induction	IsA	induction
induction	IsA	introduction
energy	RelatedTo	power
energy	CapableOf	equal_mass
energy	RelatedTo	solar
energy	RelatedTo	electricity
hr	Synonym	hour
relative	IsA	person
adults	CapableOf	dress_themselves
adults	CapableOf	drink_beer
adults	CapableOf	count
adults	CapableOf	eat_sushi
target	IsA	reference_point
involved	SimilarTo	interested
involved	SimilarTo	up_to_their_necks
involved	SimilarTo	attached
involved	SimilarTo	engaged
one	RelatedTo	number
one	RelatedTo	first
one	RelatedTo	two
one	IsA	a_number
using	Synonym	exploitation
mean	RelatedTo	average
mean	DistinctFrom	nice
mean	Synonym	hateful
known	SimilarTo	proverbial
known	SimilarTo	well-known
known	SimilarTo	known
known	RelatedTo	glorious
specific	SimilarTo	particularised
specific	RelatedTo	specialized
specific	IsA	medicine
specific	HasContext	medicine
clinical	SimilarTo	objective
participants	CapableOf	agree_on_a_policy
lung	PartOf	a_human_body
lung	IsA	respiratory_organ
surgery	HasContext	United_Kingdom
2	SimilarTo	cardinal
2	Synonym	two
plasma	HasContext	physical_chemistry
plasma	IsA	chalcedony
plasma	IsA	state_of_matter
essential	SimilarTo	biogenic
essential	RelatedTo	indispensable
essential	SimilarTo	life-sustaining
essential	SimilarTo	substantial
system	IsA	system
system	IsA	body_part
system	IsA	system
system	IsA	system
neoplasia	IsA	pathologic_process
stable	SimilarTo	lasting
stable	MannerOf	shelter
stable	SimilarTo	stabile
stable	SimilarTo	sound
b	Synonym	B
b	IsA	blood_group
b	Synonym	bel
survival	Synonym	survival
major	IsA	student
major	HasContext	United_Kingdom
major	HasContext	music
deficiency	Synonym	lack
deficiency	Synonym	insufficiency
pregnancy	CapableOf	result_from_sex
common	SimilarTo	grassroots
common	SimilarTo	public
common	Synonym	park
detection	Synonym	signal_detection
treated	SimilarTo	doped
treated	SimilarTo	proofed
treated	SimilarTo	burnt
treated	SimilarTo	dressed
functional	RelatedTo	serviceable
functional	SimilarTo	functioning
care	RelatedTo	love
care	RelatedTo	loving
care	RelatedTo	concern
care	RelatedTo	after
mechanism	HasContext	philosophy
mechanism	IsA	performance
mechanism	UsedFor	help
mechanism	IsA	philosophical_doctrine
active	SimilarTo	activistic
active	Synonym	active_agent
active	Synonym	combat-ready
active	SimilarTo	proactive
two	IsA	a_number
two	RelatedTo	number
two	Synonym	deuce
hiv	IsA	viral_infection
hiv	Synonym	human_immunodeficiency_virus
antibodies	CapableOf	battle_viruses
used	SimilarTo	utilised
used	SimilarTo	in_use
g	Synonym	deoxyguanosine_monophosphate
g	Synonym	g
g	Synonym	gigabyte
g	Synonym	GB
children	AtLocation	a_school
children	CapableOf	share_toys
children	RelatedTo	kids
children	Desires	play_with_toys
cellular	SimilarTo	multicellular
cellular	SimilarTo	cancellated
cellular	HasContext	biology
cellular	SimilarTo	lymphoblast-like
based	SimilarTo	settled
based	SimilarTo	supported
evidence	Synonym	testify
evidence	HasContext	law
evidence	IsA	indication
evidence	IsA	evidence
suggest	Synonym	propose
suggest	Synonym	hint
aged	IsA	age_group
aged	Synonym	ripened
count	RelatedTo	numbers
count	RelatedTo	two
virus	CapableOf	cause_a_cold
virus	CapableOf	infect
virus	CapableOf	destroy_cells
virus	IsA	virus
prostate	Synonym	prostate_gland
sympathetic	SimilarTo	similar
sympathetic	HasContext	physiology
significant	SimilarTo	epoch-making
significant	SimilarTo	world-shattering
low	SimilarTo	depressed
low	SimilarTo	baritone
low	IsA	degree
low	SimilarTo	low-altitude
patient	IsA	patient
patient	IsA	case
time	RelatedTo	clock
time	RelatedTo	minutes
time	RelatedTo	hours
time	RelatedTo	seconds
heart	IsA	a_muscle
heart	UsedFor	pumping_blood
heart	PartOf	a_human_body
heart	PartOf	the_body
key	CapableOf	open_a_lock
key	CapableOf	open_doors
key	UsedFor	open_a_lock
key	UsedFor	opening_doors
odds	IsA	ratio
odds	IsA	likelihood
odds	Synonym	odds
replication	IsA	pleading
replication	HasContext	genetics
replication	Synonym	reproduction
replication	IsA	organic_process
homeostasis	HasContext	physiology
homeostasis	IsA	equilibrium
metabolism	HasContext	organism
metabolism	IsA	metabolism
metabolism	IsA	organic_process
insulin	IsA	hormone
insulin	IsA	hypoglycemic_agent
insulin	IsA	insulin
insulin	IsA	insulin
identified	SimilarTo	known
smoking	Causes	lung_cancer
smoking	Causes	cancer
smoking	HasSubevent	light_a_cigarette
smoking	NotHasProperty	good_for_your_health
genes	CapableOf	mutate
health	IsA	health
health	RelatedTo	being
health	RelatedTo	well
multiple	SimilarTo	five-fold
multiple	SimilarTo	three-fold
multiple	SimilarTo	nine-fold
multiple	IsA	multiple
dementia	IsA	dementia
dementia	IsA	insanity
dementia	IsA	dementia
muscle	AtLocation	your_arm
muscle	UsedFor	lift_things
muscle	CapableOf	contract
muscle	AtLocation	a_human_body
cases	IsA	legal_actions
cases	ReceivesAction	heard_in_a_court_of_law
lacking	Synonym	deficient
fibrosis	IsA	pathology
fibrosis	IsA	fibrosis
fibrosis	PartOf	pneumoconiosis
fibrosis	IsA	fibrosis
longitudinal	SimilarTo	lengthwise
transplantation	Synonym	transplant
elevated	Synonym	noble-minded
elevated	SimilarTo	increased
elevated	Synonym	elevated_railway
elevated	SimilarTo	raised
regulate	MannerOf	decide
regulation	IsA	rule
placebo	IsA	vesper
placebo	HasContext	Roman_Catholic
drugs	CapableOf	cloud_your_mind
drugs	ReceivesAction	prohibited
drugs	UsedFor	get_high
drugs	IsA	substances
physical	SimilarTo	material
total	MannerOf	be
apoptosis	IsA	necrobiosis
failure	IsA	fortune
failure	IsA	nonaccomplishment
plays	IsA	preformed_in_theaters
plays	ReceivesAction	performed_for_an_audience
plays	IsA	musicals,_where_the_characters_sing
men	RelatedTo	male
men	RelatedTo	boys
men	RelatedTo	males
men	RelatedTo	man
complex	IsA	feeling
support	RelatedTo	help
support	RelatedTo	up
support	RelatedTo	aid
body	RelatedTo	human
body	RelatedTo	person
body	RelatedTo	torso
body	RelatedTo	arms
mutant	HasContext	biology
mutant	IsA	organism
neutrophil	Synonym	neutrophil
neutrophil	IsA	leukocyte
adult	CapableOf	help_a_child
adult	CapableOf	dress_herself
adult	CapableOf	sign_a_contract
adult	IsA	animal
groups	CapableOf	include_individuals
groups	CapableOf	bus_together
male	CapableOf	father_a_child
male	CapableOf	father_an_offspring
male	CapableOf	ejaculate
grade	IsA	grade
cycle	IsA	cycle
cycle	MannerOf	cycle
enhanced	SimilarTo	increased
improved	SimilarTo	developed
improved	SimilarTo	reinforced
improved	SimilarTo	better
improved	SimilarTo	cleared
combination	IsA	collection
combination	IsA	change_of_integrity
germ	IsA	a_microorganism
germ	Synonym	source
germ	IsA	structure
positive	SimilarTo	affirmative
positive	PartOf	slide
positive	SimilarTo	Gram-positive
positive	IsA	film
similar	SimilarTo	akin
similar	SimilarTo	sympathetic
similar	SimilarTo	corresponding
provide	RelatedTo	give
provide	Synonym	put_up
rapid	PartOf	river
rapid	IsA	waterway
rapid	Synonym	speedy
rapid	SimilarTo	fast
actin	IsA	simple_protein
first	RelatedTo	second
first	RelatedTo	before
first	RelatedTo	before_second
first	RelatedTo	number
adverse	Synonym	untoward
adverse	SimilarTo	unfavorable
reducing	Synonym	reduction
reducing	IsA	loss
due	RelatedTo	date
due	RelatedTo	deadline
due	SimilarTo	expected
due	SimilarTo	due
tuberculosis	IsA	tuberculosis
tuberculosis	IsA	tuberculosis
later	Synonym	by_and_by
later	Synonym	subsequently
later	Synonym	late
level	RelatedTo	even
level	RelatedTo	flat
different	SimilarTo	disparate
observed	Synonym	ascertained
tissues	UsedFor	wipe_the_nose_and_bum
tissues	UsedFor	wipe_your_nose
tissues	AtLocation	the_purse
tissues	UsedFor	wipe_up_a_spill
sex	IsA	an_activity
sex	Causes	children
sex	Causes	an_orgasm
sex	IsA	a_three_letter_word
prevalence	IsA	generality
prevalence	HasContext	epidemiology
phosphorylation	IsA	a_chemical_reaction
develop	Synonym	modernize
develop	MannerOf	create
trials	ReceivesAction	conducted_inside_of_a_court
trials	ReceivesAction	held_in_courthouses
trials	ReceivesAction	done_in_phases
trials	DefinedAs	plural_form_of_trial
somatic	SimilarTo	physical
domain	Synonym	world
systemic	SimilarTo	general
hormone	IsA	hormone
hormone	IsA	hormone
hormone	IsA	hormone
hormone	IsA	secretion
diminished	Synonym	atrophied
diminished	HasContext	music
diminished	SimilarTo	decreased
diminished	Synonym	lessened
even	DistinctFrom	odd
even	Synonym	level
even	SimilarTo	lap-jointed
even	Synonym	yet
expressed	Synonym	explicit
expressed	Synonym	verbalised
exposure	IsA	vulnerability
exposure	Synonym	picture
hypertension	Synonym	high_blood_pressure
extracellular	HasContext	biology
glutamate	IsA	salt
brain	UsedFor	thinking
brain	PartOf	your_body
brain	PartOf	a_human_body
brain	AtLocation	a_person
difference	IsA	change
highly	Synonym	extremely
status	IsA	status
mutation	IsA	change
mutation	IsA	change
across	Synonym	crossways
cholesterol	IsA	sterol
cholesterol	IsA	cholesterol
cholesterol	IsA	cholesterol
surgical	SimilarTo	postoperative
overall	IsA	work-clothing
overall	SimilarTo	general
hazard	IsA	hazard
hazard	PartOf	golf_course
hazard	IsA	hazard
index	MannerOf	list
values	IsA	belief
infertility	Synonym	sterility
contribute	Synonym	lend
contribute	MannerOf	promote
conditions	Synonym	weather
conditions	IsA	context
migration	IsA	migration
migration	IsA	migration
drug	UsedFor	treat_an_illness
drug	Causes	trip
drug	Synonym	drug
weeks	IsA	units_of_time
glucose	IsA	sugar
identify	MannerOf	determine
identify	Entails	classify
identify	MannerOf	see
allele	IsA	allele
allele	IsA	gene
allele	IsA	allele
allele	HasContext	genetics
glioma	IsA	brain_tumor
alpha	SimilarTo	exploratory
alpha	IsA	start
alpha	IsA	letter
many	Synonym	many_another
many	RelatedTo	lot
many	RelatedTo	lots
many	Antonym	few
humans	CapableOf	die_only_once
humans	AtLocation	a_country
humans	HasA	brains
humans	HasA	two_legs
throughout	Synonym	passim
changes	IsA	plural_of_the_word_change
changes	IsA	welcome_amongs_humans
headache	IsA	headache
headache	IsA	headache
although	RelatedTo	but
hospital	AtLocation	a_city
hospital	UsedFor	emergencies
c	IsA	programming_language
c	Synonym	degree_Centigrade
c	Synonym	hundred
c	Synonym	vitamin_C
medical	Synonym	checkup
medical	Synonym	aesculapian
nerve	AtLocation	a_brain
nerve	UsedFor	sensing_pain
nerve	Synonym	boldness
nerve	IsA	nerve
cause	RelatedTo	reason
cause	RelatedTo	effect
erythrocyte	Synonym	red_blood_cell
genome	IsA	ordering
well	UsedFor	get_water
well	IsA	well
well	RelatedTo	fit
period	RelatedTo	dot
period	AtLocation	any_sentence
information	AtLocation	the_Internet
information	AtLocation	the_library
information	AtLocation	a_book
information	AtLocation	the_newspaper
intervention	IsA	proceeding
nuclear	HasContext	biology
result	RelatedTo	outcome
result	RelatedTo	answer
result	Synonym	leave
result	Synonym	result
serum	Synonym	serum
serum	IsA	liquid_body_substance
serum	IsA	serum
activated	HasContext	physics
activated	SimilarTo	reactive
activated	SimilarTo	treated
activated	HasContext	military
current	RelatedTo	flow
current	RelatedTo	now
current	RelatedTo	water
current	RelatedTo	electricity
taking	Synonym	fetching
taking	Synonym	pickings
play	MotivatedByGoal	have_some_fun
play	RelatedTo	fun
play	RelatedTo	activity
play	RelatedTo	game
size	RelatedTo	small
size	RelatedTo	large
size	RelatedTo	measurement
size	RelatedTo	big
pain	RelatedTo	hurt
pain	RelatedTo	feeling
pain	IsA	sensation
pain	RelatedTo	hurting
consumption	IsA	bodily_process
consumption	IsA	depletion
elderly	Synonym	aged
elderly	SimilarTo	old
proliferation	IsA	increase
e	Synonym	einsteinium
e	Synonym	east
e	IsA	letter
e	IsA	transcendental_number
infected	Synonym	septic
articles	IsA	a,_an,_and_the
articles	ReceivesAction	found_in_magazines
hospitals	IsA	one_type_of_health_care_provider
hospitals	HasA	patients
hospitals	IsA	ususally_sterile
hospitals	IsA	places_where_people_need_medical_care
correlated	SimilarTo	related
presence	IsA	being
findings	IsA	collection
n	Synonym	nitrogen
n	Synonym	north
n	Synonym	normality
art	RelatedTo	painting
art	RelatedTo	paintings
art	RelatedTo	sculpture
art	RelatedTo	museum
determined	SimilarTo	stubborn
determined	SimilarTo	resolute
determined	Synonym	dictated
determined	Synonym	driven
year	RelatedTo	time
year	RelatedTo	months
year	RelatedTo	twelve
year	RelatedTo	twelve_months
diseases	CapableOf	kill
tamoxifen	Synonym	estrogen_antagonist
better	RelatedTo	good
better	SimilarTo	major
demonstrate	Synonym	show
membrane	IsA	membrane
membrane	IsA	membrane
could	RelatedTo	can
could	RelatedTo	might
innate	SimilarTo	intelligent
general	RelatedTo	rank
general	RelatedTo	army
general	CapableOf	lead_an_army
general	RelatedTo	military
binding	IsA	attraction
binding	Synonym	dressing
binding	IsA	protective_covering
binding	IsA	binding
act	RelatedTo	play
act	MannerOf	act
bleeding	IsA	injury
direct	Synonym	aim
direct	Synonym	mastermind
direct	MannerOf	order
direct	SimilarTo	door-to-door
myocarditis	Synonym	myocardial_inflammation
warfarin	AtLocation	a_medicine_chest
warfarin	UsedFor	help_prevent_embolism
previously	Synonym	antecedently
kidney	PartOf	of_the_human_body
kidney	PartOf	kidney
kidney	PartOf	urinary_tract
setting	IsA	environment
related	SimilarTo	kindred
related	RelatedTo	lineal
related	SimilarTo	related
related	RelatedTo	collateral
solely	Synonym	exclusively
homozygous	HasContext	genetics
critical	SimilarTo	critical
critical	SimilarTo	captious
critical	HasContext	physics
therapeutic	Synonym	therapeutic
therapeutic	Synonym	remedy
therapeutic	Synonym	alterative
mechanical	SimilarTo	automatonlike
mechanical	SimilarTo	mechanic
adipose	SimilarTo	fatty
inhibitor	IsA	substance
visual	SimilarTo	visible
visual	Synonym	ocular
antibody	IsA	antibody
dysfunction	HasContext	medicine
dysfunction	IsA	dysfunction
dysfunction	IsA	pathology
aging	Synonym	senescent
aging	IsA	organic_process
large	RelatedTo	big
large	RelatedTo	size
large	SimilarTo	blown-up
oral	Synonym	unwritten
oral	Synonym	oral
program	HasPrerequisite	learn_a_programming_language
program	CreatedBy	a_programmer
program	AtLocation	the_opera
program	CausesDesire	program
controlled	SimilarTo	price-controlled
controlled	SimilarTo	controlled
controlled	SimilarTo	contained
controlled	SimilarTo	regimented
mediated	SimilarTo	mediate
cohort	IsA	company
single	SimilarTo	one-person
single	HasContext	botany
single	SimilarTo	uniform
single	HasContext	baseball
calcium	IsA	an_element
maintenance	Synonym	sustenance
maintenance	Synonym	care
maintenance	Synonym	alimony
maintenance	IsA	support
postoperative	SimilarTo	surgical
regulatory	Synonym	regulative
form	CapableOf	follow_function
form	RelatedTo	shape
balance	IsA	balance
balance	IsA	equality
memory	RelatedTo	brain
memory	RelatedTo	remembering
memory	RelatedTo	remember
memory	RelatedTo	past
delivery	Synonym	pitch
improving	SimilarTo	rising
prisoners	CapableOf	'scape_from_jail
prisoners	AtLocation	jail
prisoners	CapableOf	attempt_escape
prisoners	AtLocation	prison
hip	PartOf	torso
hip	Synonym	hip
hip	PartOf	thigh
network	HasContext	computer_science
network	IsA	network
family	AtLocation	your_house
family	RelatedTo	group
family	RelatedTo	people
family	RelatedTo	relatives
ii	Synonym	2
ii	Synonym	two
malaria	IsA	a_disease
protection	IsA	imposition
maternal	SimilarTo	motherlike
maternal	Synonym	parental
maternal	SimilarTo	maternalistic
maternal	SimilarTo	motherly
state	AtLocation	a_country
independent	SimilarTo	autarkical
independent	SimilarTo	strong-minded
independent	RelatedTo	separate
independent	Synonym	freelance
lead	RelatedTo	metal
lead	IsA	a_bluish-white_lustrous_metal
lead	RelatedTo	pencil
lead	RelatedTo	heavy
range	RelatedTo	home
range	RelatedTo	stove
range	RelatedTo	home_on
range	IsA	range
fat	IsA	fat
fat	IsA	fat
fat	SimilarTo	overweight
fat	SimilarTo	zaftig
suppressor	Synonym	suppressor
suppressor	IsA	gene
suppressor	IsA	suppressor
suppressor	IsA	restrainer
kg	Synonym	kilogram
bone	RelatedTo	skeleton
bone	RelatedTo	body
bone	RelatedTo	part
bone	RelatedTo	calcium
give	MannerOf	submit
rise	RelatedTo	up
rise	RelatedTo	sun
rise	Synonym	wax
transport	RelatedTo	move
transport	RelatedTo	moving
lipid	IsA	lipid
lipid	IsA	macromolecule
side	RelatedTo	edge
side	RelatedTo	left
side	HasContext	homo
side	IsA	surface
global	Synonym	worldwide
global	Synonym	ball-shaped
species	IsA	species
knockout	IsA	blow
knockout	Synonym	smasher
1	IsA	a_number
1	IsA	Abstaction
1	SimilarTo	cardinal
affect	Synonym	involve
randomized	Synonym	randomised
young	Synonym	Lester_Willis_Young
manner	RelatedTo	etiquette
access	HasContext	computer_science
polarization	IsA	optical_phenomenon
polarization	IsA	condition
murine	IsA	rodent
impaired	SimilarTo	dyslectic
impaired	SimilarTo	anosmic
impaired	SimilarTo	lessened
impaired	SimilarTo	dysfunctional
published	Synonym	promulgated
leading	Synonym	starring
leading	Synonym	leadership
leading	SimilarTo	guiding
leading	SimilarTo	directing
depletion	IsA	depletion
inducing	Synonym	inducement
shoulder	Synonym	shoulder
dietary	IsA	fare
atherosclerosis	IsA	arteriosclerosis
susceptible	SimilarTo	unresistant
susceptible	SimilarTo	hypersensitised
susceptible	SimilarTo	fictile
susceptible	SimilarTo	unvaccinated
statin	Synonym	lipid-lowering_medicine
ultrasound	IsA	sound
ultrasound	Synonym	sonography
uk	Synonym	United_Kingdom
liver	PartOf	your_body
liver	PartOf	a_human_body
liver	RelatedTo	organ
liver	IsA	liver
mental	SimilarTo	psychogenic
mental	SimilarTo	psychical
h	Synonym	henry
h	IsA	H
h	Synonym	Planck's_constant
h	Synonym	hydrogen
developing	Synonym	development
developing	SimilarTo	nonindustrial
experimental	SimilarTo	empirical
absence	IsA	time_interval
crucial	RelatedTo	critical
crucial	SimilarTo	material
crucial	SimilarTo	pivotal
hepatic	Synonym	liverwort
promote	Synonym	advertise
promote	MannerOf	support
metastasis	IsA	pathologic_process
tumour	Synonym	tumor
histone	IsA	simple_protein
acetylation	IsA	acylation
exercises	UsedFor	keep_people_healthy
exercises	CapableOf	work_stiff_joints
leukemia	IsA	leukemia
leukemia	IsA	leukemia
leukemia	IsA	leukemia
leukemia	IsA	leukemia
enzymes	AtLocation	your_mouth
enzymes	IsA	complex_proteins
knockdown	HasContext	furniture
knockdown	SimilarTo	collective
knockdown	IsA	blow
severity	Synonym	austereness
severity	Synonym	asperity
express	RelatedTo	fast
express	RelatedTo	train
express	RelatedTo	delivery
express	Synonym	express
secretion	IsA	liquid_body_substance
deletion	IsA	removal
deletion	HasContext	genetics
established	Synonym	effected
established	SimilarTo	recognized
established	Synonym	naturalized
established	SimilarTo	deep-rooted
ldl	Synonym	low-density_lipoprotein
ldl	DefinedAs	low-density_lipoprotein
monitoring	IsA	observation
older	Synonym	big_a
least	Synonym	to_the_lowest_degree
least	IsA	matter
least	RelatedTo	amount
main	RelatedTo	street
main	PartOf	infrastructure
main	IsA	main
main	IsA	main
host	CapableOf	welcome_guests
host	CapableOf	welcome_a_guest
autonomous	SimilarTo	independent
autonomous	Synonym	self-directed
autonomous	Synonym	self-governing
mitosis	IsA	cell_division
naive	SimilarTo	ingenuous
effector	IsA	organ
effector	Synonym	effecter
effector	IsA	nerve_fiber
teaching	IsA	an_important_cultural_activity
teaching	IsA	education
needle	UsedFor	sew
needle	AtLocation	a_sewing_kit
needle	UsedFor	sewing
needle	IsA	needle
walking	HasPrerequisite	legs
walking	Causes	exercise
walking	IsA	exercise
walking	IsA	a_form_of_exercise
mass	RelatedTo	weight
mass	RelatedTo	catholic
mass	RelatedTo	service
mass	MannerOf	crowd
