subject	predicate	object
comprehensive	SimilarTo	countrywide
comprehensive	RelatedTo	complete
comprehensive	SimilarTo	citywide
mosquito	CapableOf	fly
mosquito	CapableOf	suck_blood
mosquito	RelatedTo	insect
mosquito	IsA	mosquito
mosquitos	CapableOf	spread_disease
mosquitos	IsA	flying_insects
report	RelatedTo	school
report	RelatedTo	paper
report	Synonym	reputation
hypothalamus	IsA	neural_structure
hypothalamus	PartOf	diencephalon
diet	IsA	diet
diet	HasContext	animal
diet	IsA	diet
modification	Synonym	change
modification	IsA	copy
exacerbation	Synonym	aggravation
exacerbation	IsA	exasperation
glutamine	IsA	amino_acid
recurrent	SimilarTo	continual
sickle	IsA	edge_tool
ingestion	Synonym	consumption
bodies	ReceivesAction	composed_of_limbs,_torso_and_head
bodies	HasA	tissue
bodies	HasA	organs
bodies	HasA	bones
gaba	Synonym	gamma_aminobutyric_acid
inherited	Synonym	transmitted
ordering	Synonym	order
team	CapableOf	lose_to_another_team
repairs	CapableOf	cost_a_fortune
repairs	ReceivesAction	funded_through_the_federal_government
escherichia	IsA	enteric_bacteria
escherichia	IsA	escherichia
colon	IsA	colon
colon	IsA	punctuation
colon	IsA	El_Salvadoran_monetary_unit
inner	Synonym	interior
inner	RelatedTo	central
inner	HasContext	anatomy
inner	SimilarTo	innermost
involvement	Synonym	engagement
involvement	Synonym	participation
involvement	Synonym	interest
vault	RelatedTo	bank
vault	IsA	strongroom
suppressive	SimilarTo	restrictive
incapable	Synonym	unequal_to
incapable	SimilarTo	unsusceptible
incapable	RelatedTo	incompetent
incapable	SimilarTo	unable
mu	IsA	letter
light	IsA	energy
light	IsA	electromagnetic_radiation
variability	IsA	changeableness
variability	Synonym	unevenness
expected	SimilarTo	expectable
expected	SimilarTo	due
expected	SimilarTo	matter-of-course
expected	RelatedTo	unsurprising
cytoplasm	PartOf	cell
cumulative	Synonym	cumulative
cumulative	SimilarTo	additive
nascent	SimilarTo	emerging
nascent	SimilarTo	dissilient
ml	Synonym	milliliter
rhythmic	Synonym	rhythmical
satellite	IsA	satellite
satellite	Synonym	satellite
academic	SimilarTo	theoretical
academic	Synonym	pedantic
ssri	Synonym	selective-serotonin_reuptake_inhibitor
mesodermal	Synonym	mesoblastic
rip	Synonym	rent
rip	Synonym	rend
cytomegalovirus	IsA	herpes
see	RelatedTo	look
finland	IsA	a_country
scale	RelatedTo	weight
scale	RelatedTo	weighing
scale	RelatedTo	device
scale	RelatedTo	fish
survey	Synonym	sketch
survey	Entails	look
survey	IsA	survey
survey	MannerOf	calculate
distant	Synonym	removed
distant	SimilarTo	ulterior
distant	SimilarTo	nonadjacent
distant	SimilarTo	deep
er	Synonym	emergency_room
er	Synonym	erbium
eligible	RelatedTo	qualified
eligible	SimilarTo	entitled
eligible	SimilarTo	bailable
almost	RelatedTo	nearly
almost	Synonym	virtually
africa	IsA	a_continent
africa	PartOf	Africa
melanoma	IsA	skin_cancer
melanoma	Synonym	melanoma
blockade	Synonym	barricade
histocompatibility	IsA	organic_phenomenon
decisions	HasA	consequences
decisions	IsA	regretfull
decisions	IsA	weighing_factors
trying	Synonym	nerve-wracking
trying	SimilarTo	difficult
conceive	Entails	copulate
overweight	Synonym	corpulence
overweight	SimilarTo	fat
overweight	DefinedAs	polite_way_to_say_fat
thalassemia	IsA	hypochromic_anemia
foetal	Synonym	fetal
morbidity	IsA	incidence
morbidity	Synonym	morbidness
morbidity	Synonym	unwholesomeness
pathologic	Synonym	pathological
pathologic	Synonym	pathologic
adherence	Synonym	adhesiveness
adherence	Synonym	attachment
switching	Synonym	switch
spatiotemporal	Synonym	spaciotemporal
fusion	Synonym	fusion
fundamental	Synonym	underlying
fundamental	Synonym	primal
fundamental	SimilarTo	significant
de	Synonym	Delaware
interleukin	IsA	lymphokine
tropical	HasContext	rhetoric
tropical	SimilarTo	equatorial
tropical	SimilarTo	hot
tropical	SimilarTo	figurative
phenomenon	IsA	development
phenomenon	IsA	phenomenon
threshold	Synonym	doorsill
threshold	IsA	sensation
threshold	IsA	beginning
threshold	Synonym	doorway
reading	Causes	learning
reading	RelatedTo	book
reading	RelatedTo	books
reading	HasSubevent	you_learn
flow	RelatedTo	movement
flow	RelatedTo	water
flow	RelatedTo	river
flow	RelatedTo	motion
bacillus	IsA	eubacteria
bacillus	IsA	Bacillus
bacillus	Synonym	Bacillus
appear	RelatedTo	up
appear	RelatedTo	show
review	IsA	review
review	IsA	criticism
review	Synonym	follow-up
vision	IsA	imagination
vision	IsA	vision
orphan	IsA	line
orphan	IsA	person
downstream	Synonym	downriver
rational	SimilarTo	intelligent
rational	RelatedTo	logical
woman	RelatedTo	female
woman	RelatedTo	girl
woman	RelatedTo	lady
woman	RelatedTo	gender
participant	IsA	associate
weights	UsedFor	exercise
short	SimilarTo	snub
short	SimilarTo	squatty
short	SimilarTo	curtal
short	Synonym	unretentive
envelope	UsedFor	mailing_a_letter
envelope	UsedFor	send_a_letter
envelope	UsedFor	protect
tonic	HasContext	music
destruction	Synonym	end
driving	Causes	changing_your_location
driving	HasSubevent	listening_to_the_radio
driving	HasSubevent	turn_the_steering_wheel
driving	Causes	moving
feedback	IsA	feedback
feedback	IsA	feedback
storage	IsA	commercial_enterprise
storage	Synonym	storehouse
glycolysis	IsA	metabolism
node	IsA	celestial_point
node	IsA	node
node	IsA	node
node	Synonym	leaf_node
gynandromorph	Synonym	hermaphrodite
testis	PartOf	male_reproductive_system
testis	PartOf	testis
apparatus	IsA	apparatus
stabilization	IsA	improvement
stabilization	HasContext	aircraft
spent	Synonym	played_out
spent	Synonym	exhausted
interfere	MannerOf	impede
conversion	IsA	change
conversion	IsA	conversion
barrier	IsA	obstruction
axis	IsA	alliance
axis	IsA	axis
axis	IsA	axis
axis	Synonym	axis
monkeys	CapableOf	throw_things
monkeys	CapableOf	make_faces
monkeys	IsA	not_invertibrates
monkeys	CapableOf	reach_for_fruit
urban	RelatedTo	city
urban	SimilarTo	urbanised
urban	SimilarTo	city-like
urban	SimilarTo	urban
haematopoietic	Synonym	hematopoietic
pathogen	IsA	microorganism
hosts	CapableOf	welcome_guest
hosts	CapableOf	welcome_guests
patent	IsA	legal_document
patent	Synonym	patent
patent	SimilarTo	unobstructed
patent	IsA	document
needed	Synonym	requisite
severely	Synonym	sternly
tested	Synonym	tried_and_true
tested	Synonym	well-tried
unit	RelatedTo	measurement
unit	RelatedTo	single
unit	RelatedTo	measure
modulation	IsA	transmission
modulation	IsA	modulation
modulation	IsA	modulation
modulation	HasContext	electronics
rising	Synonym	emerging
rising	Synonym	rebellion
rising	SimilarTo	new
zero	IsA	a_number
zero	Synonym	zero
zero	IsA	digit
zero	SimilarTo	no
supporting	Synonym	support
supporting	Synonym	load-bearing
supporting	SimilarTo	supportive
sensors	UsedFor	collect_information
correlation	Synonym	correlation
correlation	IsA	reciprocality
correlation	PartOf	correlational_analysis
correlation	IsA	correlation
permeability	IsA	porosity
iga	Synonym	immunoglobulin_A
cr	Synonym	chromium
seem	MannerOf	be
partner	Synonym	spouse
fructose	IsA	ketohexose
cut	RelatedTo	knife
cut	RelatedTo	slice
cut	RelatedTo	wound
cut	RelatedTo	scissors
undifferentiated	SimilarTo	dedifferentiated
rats	IsA	rodents
rats	CapableOf	spread_disease
rats	CapableOf	bite
segregated	RelatedTo	separate
segregated	SimilarTo	lily-white
segregated	SimilarTo	separate
segregated	SimilarTo	quarantined
rnase	Synonym	ribonuclease
hypersensitive	Synonym	hypersensitised
left	SimilarTo	leftmost
left	SimilarTo	left-of-center
left	Synonym	left_field
changed	SimilarTo	varied
changed	SimilarTo	exchanged
changed	HasContext	geology
changed	SimilarTo	altered
pharmacists	CapableOf	dispense_drugs
pharmacists	CapableOf	prepare_medications_from_a_prescription
pharmacists	HasA	machines_that_count_pills
pharmacists	CapableOf	sell_drugs
rounding	Synonym	rounding
rounding	HasContext	mathematics
rounding	IsA	miscalculation
teams	MadeOf	team_members
teams	HasA	players
teams	IsA	playing_the_games_together
teams	CapableOf	pick_a_leader
ir	Synonym	Inland_Revenue
ir	Synonym	iridium
alzheimers	Synonym	Alzheimer's_disease
fa	IsA	solfa_syllable
unadjusted	SimilarTo	maladjusted
unadjusted	Synonym	unadapted
propagation	IsA	dissemination
propagation	IsA	physical_phenomenon
aspirin	CapableOf	relieve_headache_pain
aspirin	IsA	aspirin
hodgkin	Synonym	Thomas_Hodgkin
hodgkin	Synonym	Dorothy_Mary_Crowfoot_Hodgkin
hodgkin	Synonym	Alan_Lloyd_Hodgkin
potentiation	HasContext	medicine
potentiation	IsA	synergy
smooth	RelatedTo	slippery
smooth	SimilarTo	easy
smooth	SimilarTo	entire
smooth	Entails	rub
attendance	IsA	company
attendance	IsA	frequency
youth	RelatedTo	young
youth	IsA	maturity
pap	Synonym	nipple
pap	Synonym	soft_diet
pap	IsA	drivel
atypical	Synonym	irregular
atypical	RelatedTo	uncharacteristic
atypical	SimilarTo	unrepresentative
atypical	RelatedTo	abnormal
forks	UsedFor	eat_steak
forks	HasA	tines
forks	UsedFor	eat_food
forks	UsedFor	eat_vegetables
temporal	SimilarTo	earthly
temporal	SimilarTo	impermanent
tor	IsA	hill
tor	IsA	rock
haplotype	IsA	combination
haplotype	HasContext	genetics
modulated	SimilarTo	softened
modulated	SimilarTo	inflected
impart	MannerOf	tell
impart	Synonym	lend
case	RelatedTo	brief
case	RelatedTo	container
case	RelatedTo	box
case	RelatedTo	luggage
eye	RelatedTo	organ
eye	RelatedTo	seeing
eye	RelatedTo	face
eye	RelatedTo	part
ied	Synonym	improvised_explosive_device
ied	IsA	explosive
ross	Synonym	Sir_Ronald_Ross
ross	Synonym	Nellie_Tayloe_Ross
ross	Synonym	Betsy_Griscom_Ross
ross	Synonym	Sir_John_Ross
leukaemia	Synonym	leukemia
relationships	CapableOf	change_as_people_change
relationships	IsA	"pure_gold_."
relationships	CapableOf	end_quickly
relationships	CausesDesire	live
overcrowding	IsA	a_problem_in_todays_cities
populated	SimilarTo	inhabited
forced	Synonym	constrained
forced	SimilarTo	involuntary
forced	SimilarTo	unscheduled
dicer	IsA	mechanical_device
citation	Synonym	quotation
strengthened	SimilarTo	strong
drift	HasContext	mining
drift	MannerOf	circulate
drift	IsA	tenor
occlusion	Synonym	blockage
occlusion	IsA	attack
occlusion	Synonym	occluded_front
occlusion	Synonym	blockage
bolus	IsA	pill
bolus	IsA	ball
coverage	IsA	news
coverage	IsA	extent
coverage	IsA	sum
universal	IsA	convention
universal	SimilarTo	adaptable
universal	SimilarTo	general
universal	Synonym	universal_proposition
immature	RelatedTo	premature
immature	SimilarTo	inchoative
immature	SimilarTo	larval
younger	SimilarTo	junior
regimen	HasContext	medicine
regimen	IsA	plan
eligibility	IsA	qualification
mg	Synonym	milligram
mg	Synonym	magnesium
sample	IsA	sample
sample	IsA	sample
sample	IsA	natural_object
homozygosity	IsA	state
congenital	SimilarTo	noninheritable
bias	SimilarTo	oblique
bias	MannerOf	prejudice
resolution	Synonym	resolving_power
resolution	IsA	physical_phenomenon
seven	IsA	a_number
predictions	ReceivesAction	needed_to_make_plans
predisposition	Synonym	sensitivity
predisposition	IsA	disposition
predisposition	IsA	inclination
pivotal	SimilarTo	crucial
according	SimilarTo	accordant
according	SimilarTo	reported
conditional	SimilarTo	dependant
conditional	RelatedTo	qualified
conditional	SimilarTo	contrary_to_fact
conditional	SimilarTo	qualified
organs	Synonym	variety_meat
organs	PartOf	organism
alteration	Synonym	revision
permit	RelatedTo	allow
permit	RelatedTo	license
stationary	SimilarTo	fixed
stationary	SimilarTo	nonmoving
monitors	CapableOf	show_text
reports	DefinedAs	plural_of_report
reports	IsA	the_parts
reports	ReceivesAction	read_by_humans
feed	RelatedTo	food
feed	RelatedTo	eat
feed	RelatedTo	give
feed	RelatedTo	give_food
usage	Synonym	use
usage	Synonym	custom
nine	RelatedTo	eight
nine	Synonym	9
msc	Synonym	Master_of_Science
oxidation	IsA	chemical_reaction
continuous	SimilarTo	persisting
continuous	RelatedTo	unbroken
continuous	SimilarTo	endless
center	RelatedTo	middle
center	IsA	center
center	IsA	position
varied	Synonym	wide-ranging
varied	RelatedTo	different
varied	SimilarTo	multifaceted
varied	SimilarTo	omnifarious
cluster	Synonym	bunch
cluster	MannerOf	meet
cluster	Synonym	bunch
microscopy	IsA	microscopy
microscopy	IsA	research
microscopy	IsA	microscopy
copy	RelatedTo	duplicate
copy	RelatedTo	xerox
copy	RelatedTo	original
angina	IsA	angina
angina	IsA	inflammatory_disease
angina	Synonym	angina_pectoris
power	RelatedTo	energy
power	RelatedTo	electricity
power	RelatedTo	strength
power	IsA	power
order	RelatedTo	command
disassembly	Synonym	dismantling
height	IsA	dimension
height	Synonym	stature
upstream	Synonym	upriver
car	RelatedTo	vehicle
car	CapableOf	go_fast
car	CapableOf	crash
car	HasA	seats
acquire	Synonym	learn
acquire	Synonym	get
physiologic	SimilarTo	physical
physiologic	Synonym	physiologic
droplet	IsA	drop
stimulating	RelatedTo	invigorating
stimulating	RelatedTo	stimulative
stimulating	Synonym	exhilarating
stimulating	RelatedTo	interesting
governing	SimilarTo	dominant
governing	Synonym	government
recognized	SimilarTo	established
recognized	Synonym	recognised
vulnerable	RelatedTo	unprotected
vulnerable	RelatedTo	susceptible
vulnerable	SimilarTo	penetrable
vulnerable	SimilarTo	defenceless
loading	IsA	ratio
loading	IsA	handling
loading	Synonym	cargo
loading	IsA	loading
joint	PartOf	endoskeleton
joint	HasContext	anatomy
fiber	Synonym	fiber
fiber	IsA	fabric
fiber	Synonym	roughage
smokers	CapableOf	be_forming_bad_habits
smokers	CapableOf	age_prematurely
smokers	IsA	non-U
able	RelatedTo	ability
able	RelatedTo	can
able	Synonym	capable
able	SimilarTo	able
experimentally	Synonym	through_an_experiment
fruits	CapableOf	grow_on_a_tree
fruits	IsA	products_of_plants
recorded	SimilarTo	recorded
recorded	SimilarTo	filmed
recorded	SimilarTo	prerecorded
recorded	SimilarTo	recorded
switch	Synonym	interchange
al	Synonym	Alabama
al	Synonym	aluminum
enable	MannerOf	change
dual	Synonym	duple
dual	SimilarTo	plural
dual	Synonym	three-fold
dual	RelatedTo	two
putative	SimilarTo	acknowledged
arm	HasA	one_hand
arm	RelatedTo	hand
arm	RelatedTo	appendage
arm	RelatedTo	limb
rural	RelatedTo	country
rural	SimilarTo	hobnailed
splice	Synonym	lap_joint
splice	IsA	junction
splice	MannerOf	intertwine
determining	Synonym	determinative
menopause	PartOf	middle_age
senescence	Synonym	aging
senescence	Synonym	agedness
participation	Synonym	engagement
participation	IsA	condition
past	DistinctFrom	future
past	RelatedTo	time
past	RelatedTo	history
past	RelatedTo	before
exchange	RelatedTo	trade
exchange	RelatedTo	swap
exchange	RelatedTo	stock
exchange	RelatedTo	barter
way	IsA	category
way	IsA	artifact
eventual	SimilarTo	ultimate
guanine	IsA	purine
dissociation	IsA	separation
dissociation	HasContext	chemistry
dissociation	IsA	psychological_state
basic	Synonym	introductory
basic	IsA	programming_language
purification	IsA	purge
celiac	Synonym	coeliac
cloning	IsA	biological_research
cloning	IsA	cloning
cloning	IsA	cloning
interplay	IsA	interaction
iii	Synonym	3
iii	Synonym	three
alter	Entails	sew
enabled	DefinedAs	opposite_of_disabled
delayed	SimilarTo	retarded
rating	Synonym	evaluation
prescribed	SimilarTo	regular
prescribed	Synonym	decreed
inverse	IsA	opposition
epithelium	IsA	animal_tissue
epithelium	IsA	epithelium
degrading	Synonym	corrupting
degrading	SimilarTo	dishonorable
safe	RelatedTo	box
safe	RelatedTo	lock
safe	RelatedTo	combination
safe	SimilarTo	safe
sensitisation	Synonym	sensitizing
sensitisation	Synonym	sensitization
sensitisation	Synonym	sensitization
physiological	Synonym	physiologic
operational	SimilarTo	effective
operational	Synonym	in_operation
lambda	IsA	letter
lambda	IsA	craniometric_point
deep	DistinctFrom	shallow
deep	Synonym	trench
deep	SimilarTo	artful
deep	SimilarTo	wakeless
protect	RelatedTo	serve
protect	RelatedTo	guard
protect	RelatedTo	safe
fraction	IsA	fraction
fraction	IsA	rational_number
fraction	IsA	fraction
fraction	IsA	fraction
serve	MannerOf	help
generally	Synonym	broadly_speaking
generally	Synonym	in_the_main
inactivity	IsA	act
inactivity	Synonym	inaction
confounding	SimilarTo	unsupportive
aerobic	SimilarTo	aerobiotic
aerobic	SimilarTo	oxidative
restore	Synonym	regenerate
eukaryotes	IsA	colonies
eukaryotes	HasA	their_DNA_in_linear_pieces
compound	IsA	compound
midas	HasContext	legend
midas	HasContext	Greece
directed	SimilarTo	oriented
directed	SimilarTo	manageable
invariant	IsA	feature
invariant	HasContext	mathematics
invariant	HasContext	mathematics
invariant	SimilarTo	invariable
attack	RelatedTo	war
attack	RelatedTo	fight
attack	MannerOf	affect
splenomegaly	IsA	hypertrophy
lymphadenopathy	IsA	pathology
corresponding	SimilarTo	related
corresponding	SimilarTo	similar
synapse	PartOf	brain
synapse	IsA	junction
synapse	PartOf	nerve
deamination	IsA	chemical_process
ecm	Synonym	electronic_countermeasures
spurt	Synonym	jet
subtle	Synonym	pernicious
lowest	Synonym	last-place
include	HasContext	chemistry
carbon	IsA	an_element
carbon	Synonym	carbon_paper
positivity	Synonym	incontrovertibility
positivity	Synonym	positivism
positivity	Synonym	positiveness
positivity	Synonym	favorableness
arousal	IsA	wakefulness
arousal	IsA	change_of_state
cultured	Synonym	civilised
surprisingly	Synonym	astonishingly
old	RelatedTo	age
old	DistinctFrom	young
old	SimilarTo	secondhand
top	DistinctFrom	bottom
top	Antonym	bottom
top	Synonym	acme
top	Synonym	peak
income	IsA	income
income	IsA	financial_gain
objective	HasContext	grammar
objective	SimilarTo	real
homing	SimilarTo	orienting
amplify	Synonym	magnify
amplify	Synonym	inflate
amplify	Synonym	overstate
amplify	MannerOf	intensify
nonfunctional	SimilarTo	nonstructural
nonfunctional	Synonym	malfunctioning
nonfunctional	SimilarTo	decorative
nonfunctional	RelatedTo	unserviceable
price	RelatedTo	cost
price	RelatedTo	tag
price	RelatedTo	amount
price	RelatedTo	value
maximum	Synonym	maximal
contraceptive	UsedFor	prevent_pregnancy
contraceptive	UsedFor	preventing_pregnancy
contraceptive	IsA	device
contraceptive	Synonym	antifertility
hypoglycaemia	Synonym	hypoglycemia
swedish	IsA	language
epidemiological	Synonym	epidemiologic
viable	Synonym	practicable
viable	SimilarTo	alive_p
swift	Synonym	western_fence_lizard
swift	IsA	swift
swift	Synonym	Gustavus_Franklin_Swift
swift	IsA	swift
rafts	Synonym	tons
listeria	IsA	listeria
listeria	IsA	eubacteria
monocyte	IsA	leukocyte
distributed	SimilarTo	rationed
distributed	SimilarTo	parceled_out
distributed	SimilarTo	separated
distributed	SimilarTo	widespread
bear	RelatedTo	animal
bear	RelatedTo	grizzly
bear	RelatedTo	polar
bear	RelatedTo	big
possibility	Synonym	hypothesis
fractional	SimilarTo	half
fractional	SimilarTo	fragmentary
fractional	SimilarTo	divisional
fractional	SimilarTo	halfway
preventive	SimilarTo	blockading
preventive	SimilarTo	precautionary
preventive	IsA	remedy
preventive	SimilarTo	pre-emptive
exist	RelatedTo	being
exist	RelatedTo	to_be
micro	SimilarTo	microscopic
micro	SimilarTo	micro
terrorist	CapableOf	arm_a_bomb
terrorist	CapableOf	plant_a_bomb
terrorist	IsA	bad_person
terrorist	IsA	radical
dispersed	SimilarTo	distributed
standardised	SimilarTo	standard
standardised	Synonym	interchangeable
inappropriate	RelatedTo	improper
inappropriate	Synonym	out_or_keeping
inappropriate	RelatedTo	malapropos
cap	IsA	protective_covering
cap	IsA	cap
recovered	SimilarTo	found
recovered	Synonym	healed
gc	Synonym	gigahertz
gc	PartOf	TFZ
formally	Synonym	officially
validating	Synonym	substantiating
perhaps	RelatedTo	maybe
likelihood	IsA	probability
lr	Synonym	lawrencium
depressive	IsA	sick_person
retrospective	RelatedTo	backward
retrospective	IsA	art_exhibition
gamma	Synonym	da_Gamma
gamma	IsA	letter
gamma	PartOf	oersted
messenger	IsA	messenger
limiting	HasContext	grammar
limiting	Synonym	constraining
limiting	Synonym	modification
limiting	SimilarTo	restrictive
genomics	IsA	genomics
genomics	IsA	genomics
genomics	IsA	genetics
attractive	SimilarTo	charismatic
attractive	SimilarTo	spellbinding
attractive	RelatedTo	inviting
attractive	RelatedTo	pleasing
neck	RelatedTo	head
neck	RelatedTo	body
neck	UsedFor	Supporting_a_head
neck	RelatedTo	shoulders
genuine	SimilarTo	authenticated
genuine	RelatedTo	true
clocks	CapableOf	tell_time
clocks	HasA	alarms
clocks	Synonym	redstem_storksbill
clocks	CapableOf	time_a_race
nih	Synonym	National_Institutes_of_Health
nih	IsA	a_component_of_the_U.S
wide	SimilarTo	wide
wide	Synonym	widely
wide	SimilarTo	sweeping
wide	RelatedTo	thick
certain	RelatedTo	sure
certain	SimilarTo	fated
certain	RelatedTo	predictable
iodothyronine	IsA	iodoamino_acid
iodothyronine	IsA	iodothyronine
set	IsA	a_collection_of_things
set	IsA	collection_of_distinct_objects
set	MadeOf	elements
set	MannerOf	bury
arabidopsis	IsA	dilleniid_dicot_genus
arabidopsis	Synonym	Arabidopsis
locus	IsA	site
locus	IsA	set
locus	Synonym	venue
transcribed	SimilarTo	recorded
continued	SimilarTo	continuing
calendar	UsedFor	keeping_track_of_time
calendar	MannerOf	schedule
calendar	IsA	arrangement
inform	MannerOf	inform
overlapping	Synonym	imbrication
nac	Synonym	North_Atlantic_Council
profiling	IsA	identification
colonic	Synonym	colonic_irrigation
colonic	IsA	colonic_irrigation
colonic	Synonym	colonic
endometrium	PartOf	uterus
endometrium	IsA	mucous_membrane
endometrium	HasContext	pregnancy
vector	HasContext	genetics
vector	IsA	variable
lost	SimilarTo	squandered
lost	Synonym	disoriented
lost	SimilarTo	stray
lost	RelatedTo	cursed
reliable	SimilarTo	tried_and_true
reliable	RelatedTo	trustworthy
reliable	Synonym	authentic
actomyosin	IsA	protein
wing	UsedFor	providing_lift
wing	UsedFor	flying
wing	IsA	helping
wing	UsedFor	birds
contractile	SimilarTo	contracted
associate	IsA	accompaniment
pattern	IsA	exemplar
pattern	Synonym	traffic_pattern
existing	Synonym	existent
existing	SimilarTo	present
feeding	IsA	feeding
feeding	IsA	feeding
feeding	IsA	feeding
parity	Synonym	parity
parity	IsA	equivalence
